"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Chevrolet | Ford | Honda | Jaguar | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3855D51"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Jaguar, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Jaguar, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"01/1975",7606,1758,1624,48,,92,7446,1734,1598,48,,88,,
"02/1975",7018,1632,1396,68,,84,6920,1622,1392,64,,84,,
"03/1975",8156,1876,1722,72,,92,8002,1856,1694,68,,90,,
"04/1975",8144,1832,1604,104,,110,7952,1810,1578,104,,110,,
"05/1975",9964,2196,1936,176,,146,9682,2162,1886,172,,140,,
"06/1975",10114,2278,1860,206,,140,9830,2246,1824,204,,136,,
"07/1975",10462,2358,2014,212,,114,10188,2342,1980,210,,112,,
"08/1975",10742,2420,2044,176,,146,10450,2384,2002,166,,146,,
"09/1975",9750,2226,1964,198,,106,9490,2174,1912,198,,104,,
"10/1975",9916,2248,1998,148,,128,9614,2190,1954,146,,128,,
"11/1975",9722,2378,2034,132,,122,9470,2336,1976,128,,120,,
"12/1975",9468,2316,1954,80,,128,9264,2280,1914,80,,128,,
"01/1976",7498,1720,1528,46,,86,7342,1704,1488,46,,86,,
"02/1976",7402,1788,1618,74,,118,7248,1762,1594,74,,116,,
"03/1976",7868,1776,1578,108,,94,7698,1758,1554,106,,94,,
"04/1976",8682,2078,1692,112,,130,8464,2026,1670,112,,128,,
"05/1976",10150,2260,2002,210,,136,9930,2228,1962,206,,134,,
"06/1976",9750,2100,1910,150,,160,9494,2082,1856,144,,160,,
"07/1976",11222,2444,2188,230,,154,10956,2414,2158,228,,150,,
"08/1976",10714,2312,2148,248,,154,10506,2296,2114,246,,152,,
"09/1976",9900,2228,1974,190,,132,9736,2210,1944,188,,132,,
"10/1976",10506,2378,2034,146,,150,10282,2352,1986,144,,148,,
"11/1976",8676,2114,1860,122,,136,8512,2092,1840,122,,130,,
"12/1976",9800,2346,1960,114,,162,9668,2324,1936,114,,160,,
"01/1977",7026,1542,1448,104,,148,6916,1526,1438,104,,146,,
"02/1977",7342,1638,1552,96,,122,7202,1618,1538,96,,118,,
"03/1977",8820,1928,1916,188,,132,8658,1894,1890,188,,132,,
"04/1977",9358,2134,1856,268,,136,9216,2114,1834,268,,136,,
"05/1977",10172,2326,1978,378,,182,10022,2308,1946,378,,182,,
"06/1977",10940,2404,2034,392,,184,10702,2378,1992,392,,184,,
"07/1977",12304,2670,2320,602,,250,12008,2620,2280,602,,244,,
"08/1977",11718,2622,2258,416,,208,11528,2598,2224,416,,202,,
"09/1977",10670,2310,2018,346,,176,10430,2278,1972,346,,176,,
"10/1977",11464,2594,2320,294,,186,11248,2570,2296,294,,180,,
"11/1977",10518,2364,2246,196,,194,10346,2344,2200,196,,192,,
"12/1977",10698,2502,2182,130,,200,10556,2480,2156,130,,200,,
"01/1978",7140,1638,1446,94,,112,7010,1620,1438,94,,110,,
"02/1978",6914,1480,1460,116,,128,6748,1466,1450,116,,126,,
"03/1978",9068,2034,1790,158,,196,8936,2030,1774,158,,192,,
"04/1978",9946,2280,2006,312,,156,9788,2272,1982,312,,156,,
"05/1978",11122,2402,1952,456,,194,10908,2396,1928,456,,190,,
"06/1978",11918,2490,2246,510,,220,11664,2474,2216,510,,220,,
"07/1978",12576,2670,2276,566,,226,12250,2652,2230,562,,226,,
